pc_rdata,pc_wdata,rs1_addr,rs1_rdata,rs2_addr,rs2_rdata,rd_addr,rd_wdata,insn,mode,mem_addr,mem_rdata,mem_wdata
8000003c,80000040,s0,00000000,a5,00000037,zero,00000000,fef42423,3,ffffffe8,00000000,00000037
80000040,80000044,s0,00000000,zero,00000000,a5,00000008,fe442783,3,ffffffe4,00000008,00000000
80000044,80000048,a5,00000008,zero,00000000,a5,00000009,00178793,3,00000000,00000000,00000000
80000048,8000004c,s0,00000000,a5,00000009,zero,00000000,fef42223,3,ffffffe4,00000000,00000009
8000004c,80000050,s0,00000000,zero,00000000,a4,00000009,fe442703,3,ffffffe4,00000009,00000000
80000050,80000054,zero,00000000,zero,00000000,a5,00000009,00900793,3,00000000,00000000,00000000
80000054,80000020,a5,00000009,a4,00000009,zero,00000000,fce7d6e3,3,00000000,00000000,00000000
80000020,80000024,s0,00000000,zero,00000000,a4,00000022,fec42703,3,ffffffec,00000022,00000000
80000024,80000028,s0,00000000,zero,00000000,a5,00000037,fe842783,3,ffffffe8,00000037,00000000
80000028,8000002c,a4,00000022,a5,00000037,a5,00000059,00f707b3,3,00000000,00000000,00000000
8000002c,80000030,s0,00000000,a5,00000059,zero,00000000,fef42023,3,ffffffe0,00000000,00000059
80000030,80000034,s0,00000000,zero,00000000,a5,00000037,fe842783,3,ffffffe8,00000037,00000000
80000034,80000038,s0,00000000,a5,00000037,zero,00000000,fef42623,3,ffffffec,00000000,00000037
80000038,8000003c,s0,00000000,zero,00000000,a5,00000059,fe042783,3,ffffffe0,00000059,00000000
8000003c,80000040,s0,00000000,a5,00000059,zero,00000000,fef42423,3,ffffffe8,00000000,00000059
80000040,80000044,s0,00000000,zero,00000000,a5,00000009,fe442783,3,ffffffe4,00000009,00000000
80000044,80000048,a5,00000009,zero,00000000,a5,0000000a,00178793,3,00000000,00000000,00000000
80000048,8000004c,s0,00000000,a5,0000000a,zero,00000000,fef42223,3,ffffffe4,00000000,0000000a
8000004c,80000050,s0,00000000,zero,00000000,a4,0000000a,fe442703,3,ffffffe4,0000000a,00000000
80000050,80000054,zero,00000000,zero,00000000,a5,00000009,00900793,3,00000000,00000000,00000000
80000054,80000058,a5,00000009,a4,0000000a,zero,00000000,fce7d6e3,3,00000000,00000000,00000000
80000058,8000005c,zero,00000000,zero,00000000,zero,00000000,00000013,3,00000000,00000000,00000000
8000005c,80000060,zero,00000000,zero,00000000,zero,00000000,00000013,3,00000000,00000000,00000000
80000060,80000064,sp,ffffffe0,zero,00000000,s0,00000000,01c12403,3,fffffffc,00000000,00000000
80000064,80000068,sp,ffffffe0,zero,00000000,sp,00000000,02010113,3,00000000,00000000,00000000
80000068,00000000,ra,00000000,zero,00000000,zero,8000006c,00008067,3,00000000,00000000,00000000
